date,uph
1/01/2021,951.6875
1/11/2021,909.875
2/01/2021,959.625
2/11/2021,974.25
3/01/2021,980.9375
3/11/2021,951.25
4/01/2021,909.0625
5/01/2021,997.9375
6/01/2021,988.125
7/01/2021,936.6875
