date,uph
1/1/2021,951.6875
1/11/2021,909.875
2/1/2021,959.625
2/11/2021,974.25
3/1/2021,980.9375
3/11/2021,951.25
4/1/2021,909.0625
5/1/2021,997.9375
6/1/2021,988.125
7/1/2021,936.6875
